代码,名称,县(区、市、旗),地区(市、州、盟),省(自治区、直辖市),中心经度(度),中心经度(分),中心经度(秒),中心纬度(度),中心纬度(分),中心纬度(秒),8.行业类别_代码,14.工业总产值（万元）,10.企业规模
520101000000G121440611000,贵州益佰注射剂制药有限公司,市辖区,贵阳市,贵州省,106,32,21,26,34,23,2720,21524.1,3
520101000000G121440937000,贵州省金西煤矿（西苗井）,市辖区,贵阳市,贵州省,106,32,25,26,34,30,610,0,3
520101000000G121442463400,贵州新型保温材料厂,市辖区,贵阳市,贵州省,106,35,28,26,36,29,3135,890.8,3
520101000000G121445180000,第六砂轮厂,市辖区,贵阳市,贵州省,106,35,31,26,36,32,3199,887.5,3
520101000000G121447003200,贵州水泥厂金粟水泥分厂,市辖区,贵阳市,贵州省,106,35,26,26,54,39,3111,0,2
520101000000G121459513400,贵阳小箐水泥厂,市辖区,贵阳市,贵州省,106,35,31,26,36,39,3111,0,3
520101000000G1520112G0401,贵阳乌当朱昌友祥砂石厂,市辖区,贵阳市,贵州省,106,34,7,26,39,22,1019,160,3
520101000000G1520112G0403,贵阳乌当窦官砂石场,市辖区,贵阳市,贵州省,106,34,27,26,39,22,1019,0,3
520101000000G1520112G0459,贵阳市乌当区振兴砂石厂,市辖区,贵阳市,贵州省,106,37,17,26,39,18,1019,60,3
520101000000G162220113000,贵州华泰药业有限公司,市辖区,贵阳市,贵州省,106,23,28,26,22,9,2740,212.3,3
520101000000G162241606X00,贵州恒霸药业有限责任公司,市辖区,贵阳市,贵州省,106,39,41,26,36,52,2740,1600,2
520101000000G167073986700,贵州兴达兴建材有限公司,市辖区,贵阳市,贵州省,106,30,27,26,39,22,1019,1500,3
520101000000G167544060200,贵阳市金阳新区朱昌镇富宏煤矿,市辖区,贵阳市,贵州省,106,33,56,26,38,52,610,0,3
520101000000G170950991200,贵阳博达玻璃厂,市辖区,贵阳市,贵州省,106,36,36,26,36,0,3145,600,3
520101000000G171436524700,贵阳永隆金属冶炼厂,市辖区,贵阳市,贵州省,106,39,13,26,39,26,3340,260,3
520101000000G171436549000,贵阳望江金属加工厂,市辖区,贵阳市,贵州省,106,39,12,26,39,28,3340,150,3
520101000000G173096331900,贵阳晶华电子材料有限公司,市辖区,贵阳市,贵州省,106,38,46,26,36,59,3199,667,3
520101000000G173661516000,中国铝业贵州分公司石灰石矿,市辖区,贵阳市,贵州省,106,34,17,26,41,54,1011,588.2,3
520101000000G174113140300,贵阳市乌当区金华镇小河挖煤冲煤矿,市辖区,贵阳市,贵州省,106,55,20,26,41,0,610,0,3
520101000000G174114050200,贵阳乌当友佳食品厂,市辖区,贵阳市,贵州省,106,33,16,26,34,17,1392,3,3
520101000000G174114423900,贵阳市乌当区龙友兴煤矿,市辖区,贵阳市,贵州省,106,32,40,26,36,24,610,0,3
520101000000G174114908000,贵阳市乌当区金华镇鑫顺煤矿,市辖区,贵阳市,贵州省,106,32,54,26,36,5,610,0,3
520101000000G174570681700,贵阳乌当金龙页岩空心砖厂,市辖区,贵阳市,贵州省,106,35,12,26,34,16,3131,180,3
520101000000G174573005900,贵州金华矿业有限公司柜子岩煤矿,市辖区,贵阳市,贵州省,106,32,33,26,36,52,610,0,3
520101000000G175015127000,贵阳乌当朱昌鑫阳砂石厂,市辖区,贵阳市,贵州省,106,34,27,26,39,22,1019,500,3
520101000000G175016757100,贵阳市乌当区金华镇谢家坟煤矿,市辖区,贵阳市,贵州省,106,58,38,26,35,7,610,0,3
520101000000G175017485100,贵阳市乌当区龙井砂石厂,市辖区,贵阳市,贵州省,106,34,38,26,38,50,1019,96,3
520101000000G175536960700,贵阳市乌当欣荣煤矿,市辖区,贵阳市,贵州省,106,33,1,26,36,46,610,0,3
520101000000G175538297300,贵阳乌当朱昌反岭山煤矿,市辖区,贵阳市,贵州省,106,32,56,26,28,33,610,0,3
520101000000G176135525200,贵阳天驹保温材料厂,市辖区,贵阳市,贵州省,106,31,49,26,33,47,3135,151,3
520101000000G176136351900,贵阳市乌当区金华镇何关小茶山煤矿,市辖区,贵阳市,贵州省,106,32,58,26,34,58,610,1600,3
520101000000G176219436000,乌当区金华镇森林贵安煤矿,市辖区,贵阳市,贵州省,106,46,13,26,39,26,610,0,3
520101000000G177056259500,贵阳乌当连新耐火保温材料厂,市辖区,贵阳市,贵州省,106,31,48,26,33,48,3135,350,3
520101000000G177056931600,贵阳天卫磨料磨具有限公司,市辖区,贵阳市,贵州省,106,34,52,26,36,50,3199,110,3
520101000000G177058748500,贵阳新希望农业科技有限公司,市辖区,贵阳市,贵州省,106,34,15,26,39,16,1320,35000,3
520101000000G177533091000,贵阳市乌当区庙山砂石厂,市辖区,贵阳市,贵州省,106,34,39,26,40,52,1019,13,3
520101000000G178019289000,贵阳特驱希望农业科技有限公司,市辖区,贵阳市,贵州省,106,34,15,26,39,15,1320,17000,3
520101000000G178019656800,贵阳才群保温防水材料厂,市辖区,贵阳市,贵州省,106,31,45,26,33,46,3135,157,3
520101000000G179526236100,贵阳乌当金永砂石材料厂,市辖区,贵阳市,贵州省,106,33,50,26,40,33,1019,0,3
520101000000G179526624200,贵阳乌当三创建材有限公司,市辖区,贵阳市,贵州省,106,32,25,26,37,20,1019,380,3
520101000000G179882717x00,贵阳乌当青龙砂石厂,市辖区,贵阳市,贵州省,106,34,39,26,40,52,1019,15,3
520101000000G179883048300,贵阳乌当牛丫坡砂石厂,市辖区,贵阳市,贵州省,106,32,58,26,34,58,1019,100,3
520101000000G1L0327008400,贵阳乌当勇鑫砂石厂,市辖区,贵阳市,贵州省,106,32,26,26,36,21,1019,240,3
520101000000G1L0327200400,贵阳乌当祖其食品厂,市辖区,贵阳市,贵州省,106,39,12,26,37,26,1411,50,3
520101000000G1L0328178700,贵阳乌当建丰砖厂,市辖区,贵阳市,贵州省,106,32,11,26,36,10,3131,380,3
520101000000G1L0328297400,贵阳市乌当区贵清砂石厂,市辖区,贵阳市,贵州省,106,55,26,26,41,47,1019,80,3
520101000000G1L0328409900,朱金石灰石厂,市辖区,贵阳市,贵州省,106,33,56,26,38,44,1019,12,3
520101000000G1L0329630500,贵阳市乌当区蔚蓝酒厂,市辖区,贵阳市,贵州省,106,33,21,26,39,19,1521,20,3
520101000000G1L1286347100,贵阳市乌当区玉祥页岩砖厂,市辖区,贵阳市,贵州省,106,33,8,26,35,2,3131,800,3
520101000000G1L1287193000,贵阳市乌当区金福页岩砖厂,市辖区,贵阳市,贵州省,106,34,57,26,35,34,3131,190,3
520101000000G1L1287810400,贵阳乌当杨阳建材砂石厂,市辖区,贵阳市,贵州省,106,35,10,26,39,19,1019,120,3
520101000000G1X2225286600,贵阳市乌当区金华镇福星煤矿,市辖区,贵阳市,贵州省,106,32,58,26,34,57,610,0,3
520101000000G1x2254632800,贵阳市乌当区金华镇邵家塘煤矿,市辖区,贵阳市,贵州省,106,58,37,26,41,45,610,0,3
520102000000G120096046000,贵阳市南明区强华饰面板厂,南明区,贵阳市,贵州省,106,40,16,26,31,8,2029,5,3
520102000000G120328302900,贵阳南明泰和汽车修理厂,南明区,贵阳市,贵州省,106,40,1,26,31,59,3726,23,3
520102000000G121031255500,贵阳市南明区鼎汉镗磨服务部,南明区,贵阳市,贵州省,106,42,12,26,32,54,3726,250,3
520102000000G121440086X00,贵州省木业总公司,南明区,贵阳市,贵州省,106,42,27,26,33,26,2023,2745,2
520102000000G121440982100,首钢贵阳特殊钢有限责任公司,南明区,贵阳市,贵州省,106,27,46,26,11,37,3220,81499,1
520102000000G121441258800,贵阳卷烟厂卷烟原料公司,南明区,贵阳市,贵州省,106,40,25,26,30,48,1610,9748,1
520102000000G121442448200,贵州银燕木业有限责任公司,南明区,贵阳市,贵州省,106,44,28,26,29,15,2022,11500,3
520102000000G121445249100,贵阳市文教用品厂,南明区,贵阳市,贵州省,,,,,,,,0,
520102000000G121445493X00,贵阳市电镀厂,南明区,贵阳市,贵州省,106,44,25,26,34,46,3460,385.4,3
520102000000G121445534200,贵阳新光标牌厂,南明区,贵阳市,贵州省,106,41,0,26,33,49,3240,818,3
520102000000G121445889304,贵阳市供水总公司南郊水厂,南明区,贵阳市,贵州省,106,40,14,26,32,35,4610,5815.8,3
520102000000G121446060000,贵阳龙洞堡酒厂,南明区,贵阳市,贵州省,,,,,,,,0,
520102000000G121446246200,贵州省第二女子监狱,南明区,贵阳市,贵州省,106,40,45,26,32,40,3411,1249.6,3
520102000000G121446455600,贵阳制漆三厂,南明区,贵阳市,贵州省,106,44,9,26,34,15,2640,150,3
520102000000G121447003200,贵州水泥厂,南明区,贵阳市,贵州省,106,40,25,26,31,26,3111,17456.3,2
520102000000G121449832600,上海大众汽车贵州销售服务有限公司,南明区,贵阳市,贵州省,106,42,24,26,32,43,3726,2920,3
520102000000G121450096700,贵阳光明铸造厂,南明区,贵阳市,贵州省,,,,,,,,0,
520102000000G121450285800,贵阳朝阳水泥厂,南明区,贵阳市,贵州省,106,47,5,26,34,19,3111,800,3
520102000000G121451852600,贵阳特种变压器厂,南明区,贵阳市,贵州省,106,41,59,26,33,3,3921,1200,3
520102000000G121456095100,贵阳花溪云盘锻造厂,南明区,贵阳市,贵州省,106,46,28,26,31,39,3592,190,3
520102000000G121632130502,贵州三五三五服装总厂,南明区,贵阳市,贵州省,106,41,48,26,32,47,1810,11778.66,2
520102000000G127080200g00,贵阳市南明区瑞东钻探配件加工厂,南明区,贵阳市,贵州省,106,40,55,26,32,22,3520,11,3
520102000000G152010004800,贵阳市塑料一厂,南明区,贵阳市,贵州省,106,42,29,26,33,38,3010,1245,3
520102000000G152010290000,贵阳市南明区贵德汽车修理厂,南明区,贵阳市,贵州省,106,41,6,26,33,6,3726,72,3
520102000000G152010290009,贵阳市南明区绿汇塑料制品厂,南明区,贵阳市,贵州省,106,41,12,26,31,19,3030,10.8,3
520102000000G1520102G0010,祁莲红豆腐加工坊,南明区,贵阳市,贵州省,106,44,4,26,29,19,1392,12,3
520102000000G1520102G0011,贵阳银联汽车维修服务有限公司,南明区,贵阳市,贵州省,106,43,54,26,33,23,3726,160,3
520102000000G162223051300,贵阳南明老干妈风味食品有限责任公司,南明区,贵阳市,贵州省,106,46,41,26,34,6,1469,123009,2
520102000000G162242086X00,贵州大利医药保健有限公司,南明区,贵阳市,贵州省,106,47,19,26,31,47,2740,24,3
520102000000G162242911900,贵阳济仁堂药业有限公司,南明区,贵阳市,贵州省,106,46,48,26,32,55,2740,5160.9,3
520102000000G166295672200,贵州正宇瑞通汽车销售服务有限公司,南明区,贵阳市,贵州省,106,40,32,26,31,43,3726,2302,3
520102000000G166296324400,贵阳宏立衡器制造有限公司,南明区,贵阳市,贵州省,,,,,,,,0,
520102000000G166695736x00,贵州华工工具注塑有限公司,南明区,贵阳市,贵州省,106,41,1,26,33,41,3421,3850,2
520102000000G166696581000,贵阳东新茂盛钢材加工有限公司,南明区,贵阳市,贵州省,106,43,23,26,33,46,3400,60,3
520102000000G166698243400,贵阳家家乐豆类食品有限公司,南明区,贵阳市,贵州省,106,43,21,26,34,0,1392,21,3
520102000000G167072303X00,贵州盛筑节能建材有限公司,南明区,贵阳市,贵州省,106,41,16,26,34,2,3134,90,3
520102000000G167072959700,贵州乾骏汽车销售服务有限公司,南明区,贵阳市,贵州省,106,41,20,26,31,59,3726,36,3
520102000000G167074920500,贵州泰辰建筑节能新材料有限公司,南明区,贵阳市,贵州省,106,11,,26,16,,3499,1475,2
520102000000G167541353200,贵州贵龙饭店高点加工部,南明区,贵阳市,贵州省,106,41,48,26,36,22,1419,50,3
520102000000G167542628800,贵阳劲辰汽车修理有限公司,南明区,贵阳市,贵州省,106,41,58,26,33,57,3726,50,3
520102000000G167542861100,贵阳长春威远汽车修理厂,南明区,贵阳市,贵州省,106,41,9,26,33,6,3726,100,3
520102000000G167544716900,贵阳市南明区金太阳彩印厂,南明区,贵阳市,贵州省,106,44,34,26,34,53,2319,48.58,3
520102000000G167544969000,贵州斯巴鲁汽车销售服务有限公司,南明区,贵阳市,贵州省,106,41,49,26,31,51,3726,4788,3
520102000000G168015156500,贵阳永联亚飞汽车维修服务有限公司,南明区,贵阳市,贵州省,106,42,27,26,33,29,3726,40,3
520102000000G168015162900,贵阳南明海阳机械加工厂,南明区,贵阳市,贵州省,106,40,31,26,31,7,3523,12,3
520102000000G168017007X00,贵阳市筑水建筑安装工程有限责任公司水表箱厂,南明区,贵阳市,贵州省,106,42,7,26,35,4,3410,11.2,3
520102000000G168018425200,贵阳嘉瑞汽车维修服务部,南明区,贵阳市,贵州省,106,43,34,26,33,15,3726,20,3
520102000000G168019962200,贵州能佳环保节能科技有限公司,南明区,贵阳市,贵州省,106,41,14,26,34,1,3134,95,3
520102000000G168395164800,贵阳博源金属制品有限公司,南明区,贵阳市,贵州省,106,41,19,26,55,53,3524,60,3
520102000000G168395781200,贵州路宝通用汽车服务有限公司,南明区,贵阳市,贵州省,106,43,29,26,34,42,3726,60,3
520102000000G168396477200,贵阳众拓合金有限公司,南明区,贵阳市,贵州省,106,45,4,26,34,45,3499,51.925,3
520102000000G168396961000,贵州华丽投资有限公司,南明区,贵阳市,贵州省,106,41,33,26,33,24,3140,2,3
520102000000G168841063X00,贵州诚德饲料有限公司,南明区,贵阳市,贵州省,106,40,55,26,33,48,1320,35,3
520102000000G168841995X00,贵州博凯模塑有限公司,南明区,贵阳市,贵州省,106,44,17,26,33,16,3669,48,3
520102000000G168843215000,贵州德能科技有限公司,南明区,贵阳市,贵州省,106,44,47,26,34,41,3129,25.6,3
520102000000G168843297800,贵州昌耀钢化玻璃有限公司,南明区,贵阳市,贵州省,106,42,14,26,32,31,3149,2,3
520102000000G168843543100,贵阳南明两极塑胶电器有限公司,南明区,贵阳市,贵州省,106,44,16,26,34,39,3090,5.7,3
520102000000G169270174700,贵阳百吉一次性餐具制品有限公司,南明区,贵阳市,贵州省,106,44,30,26,34,12,3000,100,3
520102000000G169272067300,贵州美品同创工贸有限公司,南明区,贵阳市,贵州省,106,41,30,26,33,38,2231,50,3
520102000000G169272188700,贵阳市南明区科特美普瑞家居制品有限公司,南明区,贵阳市,贵州省,106,44,7,26,34,30,2100,60,3
520102000000G169274674200,贵州弘扬伟业汽车修理有限公司,南明区,贵阳市,贵州省,106,42,5,26,33,20,3726,4,3
520102000000G169753060900,贵州烟叶复烤有限责任公司（原中国烟草贵州进出口有限责任公司）,南明区,贵阳市,贵州省,106,43,52,26,29,57,1610,14077,2
520102000000G170950898700,贵阳花溪顺风工贸有限公司汽车修理厂,南明区,贵阳市,贵州省,106,40,30,26,31,11,3726,50,3
520102000000G170961375200,贵州方鸿包装有限责任公司,南明区,贵阳市,贵州省,106,42,58,26,33,25,2231,9019,2
520102000000G170961593400,贵阳仪器仪表工业公司永胜电表厂,南明区,贵阳市,贵州省,106,47,24,26,33,1,4100,6.2,3
520102000000G170962117000,贵阳开福洗涤用品有限公司,南明区,贵阳市,贵州省,,,,,,,,0,
520102000000G170965624200,贵阳云岩邓氏皮蛋老店,南明区,贵阳市,贵州省,106,45,3,26,34,47,1393,240,3
520102000000G171437892900,贵阳永兴汽车贸易有限公司,南明区,贵阳市,贵州省,106,41,11,26,33,11,3726,12331,3
520102000000G172213614500,贵阳南明福兴食品厂,南明区,贵阳市,贵州省,106,40,30,26,31,6,1419,15,3
520102000000G172213715600,贵阳粤盛铁业有限公司,南明区,贵阳市,贵州省,106,45,14,26,30,54,3200,45,3
520102000000G172214939200,贵阳南明区裕宁汽车修理厂,南明区,贵阳市,贵州省,106,40,28,26,31,9,3726,20,3
520102000000G172215691200,贵阳南明春梅酿造有限公司,南明区,贵阳市,贵州省,106,46,48,26,33,5,1469,21700,2
520102000000G173095422800,贵州风铃汽车服务有限公司,南明区,贵阳市,贵州省,106,40,29,26,31,18,3726,775,3
520102000000G173096546100,贵阳发昌化工有限公司涂料分公司,南明区,贵阳市,贵州省,106,44,54,26,34,43,2641,65,3
520102000000G173096718400,贵阳新星变压器有限公司,南明区,贵阳市,贵州省,106,42,49,26,33,53,3921,15246,2
520102000000G173098611500,贵阳灵峰铸造材料有限公司,南明区,贵阳市,贵州省,106,43,13,26,32,43,4290,854,3
520102000000G173098811000,贵阳劲丰汽车维修有限公司,南明区,贵阳市,贵州省,106,43,38,26,34,41,3726,47,3
520102000000G173660613600,贵阳市花溪兰花山酒厂,南明区,贵阳市,贵州省,106,40,48,26,33,8,1529,110,3
520102000000G174110564300,贵阳南明力加力床垫厂,南明区,贵阳市,贵州省,106,40,42,26,32,35,2190,23,3
520102000000G174113566X00,贵阳和信轻质砖有限公司,南明区,贵阳市,贵州省,106,44,46,26,34,49,3139,122.9,3
520102000000G174572014100,贵阳乌当定新砂厂,南明区,贵阳市,贵州省,106,28,46,26,19,34,1019,50,3
520102000000G175536529400,贵州天普伟业饲料有限公司,南明区,贵阳市,贵州省,106,43,37,26,32,47,1320,807.51,3
520102000000G177057855400,贵阳恒正隆实业有限公司,南明区,贵阳市,贵州省,106,43,43,26,33,5,2674,227,3
520102000000G178017313900,贵州瑞丰汽车服务有限公司,南明区,贵阳市,贵州省,106,41,57,26,33,2,3726,15876,2
520102000000G178019415900,贵州中力日兴建筑装饰工程有限公司,南明区,贵阳市,贵州省,106,41,3,26,33,22,3412,27,3
520102000000G178547939900,贵阳田雨汽车服务有限公司,南明区,贵阳市,贵州省,106,43,19,26,34,0,3726,120,3
520102000000G178548655600,贵阳银鹏金属有限制品公司,南明区,贵阳市,贵州省,106,27,,26,11,,3440,3414.6,3
520102000000G178549724700,贵州吉黔油管有限公司,南明区,贵阳市,贵州省,106,41,11,26,33,24,3020,200,3
520102000000G179881145000,贵阳花溪好友冷冻食品有限公司,南明区,贵阳市,贵州省,106,46,14,26,31,35,1492,87.2,3
520102000000G191440074800,中国国电集团公司贵阳发电厂,南明区,贵阳市,贵州省,106,41,0,26,33,59,4411,63758.52,1
520102000000G191445226500,贵阳永青仪电科技有限公司,南明区,贵阳市,贵州省,106,41,10,26,33,25,4219,14000,2
520102000000G191446432X00,贵州永恒精密仪表有限公司电镀分公司,南明区,贵阳市,贵州省,106,43,47,26,34,38,3460,110,3
520102000000G191446572800,贵阳华利美化工有限责任公司特种涂料厂,南明区,贵阳市,贵州省,106,43,26,26,31,12,2641,855,3
520102000000G1E2103219400,贵阳南明金龙电机厂,南明区,贵阳市,贵州省,106,42,41,26,33,31,3910,27,3
520102000000G1L0326661100,贵阳南明顺风大米加工厂,南明区,贵阳市,贵州省,,,,,,,,0,
520102000000G1L0327867600,贵阳锐通汽车服务公司,南明区,贵阳市,贵州省,106,43,26,26,34,43,3726,80,3
520102000000G1L0329180300,贵阳乌当永航砂石厂,南明区,贵阳市,贵州省,106,48,59,26,34,32,1010,35,3
520102000000G1L1288043100,贵阳乌当邓芳明砂石厂,南明区,贵阳市,贵州省,106,48,25,26,34,30,1010,45,3
520102000000G1l1288552300,贵阳市南明区鑫盛水泥制品厂,南明区,贵阳市,贵州省,106,44,50,26,34,48,3121,2,3
520102000000G1L2-01606300,贵阳市南明区惠丰西饼屋,南明区,贵阳市,贵州省,106,42,40,26,33,35,1411,3.6,3
520102000000G1L2100159000,乌当区永乐乡罗吏村猫猫坡沙石厂,南明区,贵阳市,贵州省,106,48,32,26,34,48,1010,120,3
520102000000G1L2100772200,贵阳乌当大塘砂石厂,南明区,贵阳市,贵州省,106,48,38,26,34,25,1010,50,3
520102000000G1L2100887200,贵阳市乌当耘涛砂石厂,南明区,贵阳市,贵州省,106,48,39,26,34,36,1010,45,3
520102000000G1L2101112300,贵阳市乌当区独坡砂石厂,南明区,贵阳市,贵州省,106,49,7,26,34,36,1010,20,3
520102000000G1L2101284700,贵阳市南明区康源纸碗厂,南明区,贵阳市,贵州省,106,41,3,26,33,17,2230,12,3
520102000000G1L2102074000,贵阳市南明区创鑫中央空调配件厂,南明区,贵阳市,贵州省,106,42,5,26,32,52,3573,20,3
520102000000G1L2102242000,贵阳市南明区万和汽车修理厂,南明区,贵阳市,贵州省,106,40,31,26,31,18,3726,10,3
520102000000G1L2103142300,贵阳乌当永乐柏杨马关口砂石厂,南明区,贵阳市,贵州省,106,48,45,26,34,48,1010,35.3,3
520102000000G1l2103327700,贵阳市南明区兴华标砖厂,南明区,贵阳市,贵州省,106,44,19,26,28,28,3139,19.2,3
520102000000G1L2104959600,贵阳市南明区铁宏汽车修理厂,南明区,贵阳市,贵州省,106,43,38,26,32,57,3726,38,3
520102000000G1L2825568100,贵阳市南明区众福汽车服务中心,南明区,贵阳市,贵州省,106,40,12,26,30,57,3726,5,3
520102000000G1L2826262X00,贵阳市南民区食中情食品厂,南明区,贵阳市,贵州省,106,40,44,26,32,14,1490,25,3
520102000000G1R0328604300,贵阳市南明区神飞汽车修理厂,南明区,贵阳市,贵州省,106,45,4,26,34,4,3726,16,3
520102001005G175537814000,沃尔玛深国投百货有限公司贵阳人民广场分店,南明区,贵阳市,贵州省,106,42,26,26,34,21,1411,9,3
520102002001G175018909200,贵阳裕众贸易有限公司,南明区,贵阳市,贵州省,106,43,18,26,34,29,3726,95.7,3
520102002001G175535452800,贵阳海鑫汽车修理厂,南明区,贵阳市,贵州省,106,43,18,26,34,29,3726,80,3
520102002007G172212886600,贵阳馨鸿汽车修理厂,南明区,贵阳市,贵州省,106,43,25,26,34,35,3726,50,3
520102002009G162220221300,贵州密之味食品有限公司,南明区,贵阳市,贵州省,106,43,20,26,34,31,1411,40,3
520102002009G170962997300,贵阳国瑞汽车服务有限公司,南明区,贵阳市,贵州省,106,43,23,26,34,29,3726,70,3
520102002009G177534068400,贵阳瑞配尔汽车维修有限公司,南明区,贵阳市,贵州省,106,43,23,26,24,29,3726,65,3
520102002010G175538122700,贵阳东圣汽车修理有限公司,南明区,贵阳市,贵州省,106,43,34,26,34,42,3726,70,3
520102002010G179884715400,贵阳南明黔贵鸿兴汽车服务有限公司,南明区,贵阳市,贵州省,106,43,34,26,34,42,3726,96,3
520102002012G121445493x00,贵阳市电镀厂,南明区,贵阳市,贵州省,106,44,25,26,34,46,3460,206,3
520102002012G170950172600,贵州全吉化工有限公司,南明区,贵阳市,贵州省,106,43,47,26,34,36,3000,1451.2,3
520102002012G191446432X00,贵州永恒精密仪表有限公司电镀分公司,南明区,贵阳市,贵州省,106,44,25,26,34,46,3460,105.6,3
520102007001G173663876000,贵阳豪派汽车维修有限公司,南明区,贵阳市,贵州省,106,41,57,26,34,2,3726,70,3
520102007006G176139905200,沃尔玛深国投百货有限公司贵阳沙冲路分店,南明区,贵阳市,贵州省,106,42,21,26,33,41,1411,9,3
520102007007G175535096500,贵阳林鼎汽修厂,南明区,贵阳市,贵州省,106,41,24,26,33,56,3726,50,3
520102008001G178976330300,贵州味特食品有限公司,南明区,贵阳市,贵州省,106,42,54,26,33,43,1370,18.6,3
520102009003G166295640700,贵阳市南明区欣欣明珠汽车维修中心,南明区,贵阳市,贵州省,106,42,3,26,33,15,3726,67,3
520102009012G191440074800,中国国电集团公司贵阳发电厂,南明区,贵阳市,贵州省,106,41,0,26,33,59,4411,69797.7,1
520102010003G121445910800,贵阳工具厂,南明区,贵阳市,贵州省,106,58,27,26,56,0,3421,4828.1,2
520102010007G121446246200,贵州客车制造厂,南明区,贵阳市,贵州省,106,40,45,26,32,40,3412,1197,3
520102010007G162224401800,贵阳阳光生活用纸厂,南明区,贵阳市,贵州省,106,41,1,26,33,19,2239,40,3
520102010007G1L0325512400,贵阳南明浩如烟海星羊城西饼店,南明区,贵阳市,贵州省,106,40,15,26,32,32,1411,95,3
520102010008G142922957x00,贵州省贵阳监狱,南明区,贵阳市,贵州省,106,41,6,26,33,23,3521,2023,3
520102011001G178019875800,贵州新达欣商贸有限公司第一分公司,南明区,贵阳市,贵州省,106,41,40,26,34,20,3726,98,3
520102011001G1L0325316100,贵阳市利丰汽车修理厂,南明区,贵阳市,贵州省,106,41,36,26,34,23,3726,25,3
520102011003G104105002000,贵阳南明元华汽修部,南明区,贵阳市,贵州省,106,41,11,26,33,49,3726,35,3
520102011003G121443634400,天津汽车工业销售贵州有限公司,南明区,贵阳市,贵州省,106,41,40,26,34,20,3726,6800,3
520102011005G121445534200,贵阳新光标牌厂,南明区,贵阳市,贵州省,106,41,3,26,33,50,3792,474,3
520102011007G176606300500,贵阳卓谦涂料物资有限公司,南明区,贵阳市,贵州省,106,40,59,26,33,54,2641,100,3
520102011011G121448142800,贵阳交通汽车翻新维修中心,南明区,贵阳市,贵州省,106,40,57,26,33,46,3726,65,3
520102012002G121446455600,贵阳制漆三厂,南明区,贵阳市,贵州省,106,43,58,26,34,12,2641,210,3
520102012003G177534158000,贵州元顺坊食品有限责任公司,南明区,贵阳市,贵州省,106,43,43,26,34,4,1432,60.2,3
520102012008G121440982100,贵阳特殊钢有限责任公司,南明区,贵阳市,贵州省,106,27,46,26,11,37,3220,167378,1
520102012014G166698243400,贵阳家家乐豆类食品有限公司,南明区,贵阳市,贵州省,106,43,16,26,34,10,1392,10,3
520102013001G170960826700,贵州金仑汽车修理有限公司,南明区,贵阳市,贵州省,106,41,9,26,33,18,3726,110,3
520102013001G1L0328302900,贵阳南明泰和汽车修理厂,南明区,贵阳市,贵州省,106,40,46,26,32,8,3726,30,3
520102013002G173095289800,贵州七星实业有限公司,南明区,贵阳市,贵州省,106,41,12,26,33,4,3411,1100,3
520102013003G170961217800,贵阳凯捷汽车修理厂,南明区,贵阳市,贵州省,106,40,48,26,32,11,3726,49.1,3
520102013003G172214939200,贵阳市南明区裕宁汽车修理厂,南明区,贵阳市,贵州省,106,40,30,26,31,41,3726,122,3
520102013003G175016122500,贵阳南明天腾拉丝有限公司,南明区,贵阳市,贵州省,106,40,30,26,31,41,3230,48,3
520102013003G178016412800,贵阳阳光九龙汽车服务有限公司,南明区,贵阳市,贵州省,106,40,46,26,32,8,3726,9.6,3
520102013003G178017436900,贵阳京顺达汽车维修有限公司,南明区,贵阳市,贵州省,106,40,48,26,32,11,3726,144.8,3
520102013003G178977325300,贵阳建伟汽车维修服务有限公司,南明区,贵阳市,贵州省,106,44,6,26,33,47,3726,98.2,3
520102013004G121446458000,永力汽车修配厂,南明区,贵阳市,贵州省,106,40,57,26,32,9,3726,163,3
520102013004G172213614500,贵阳南明福兴食品厂,南明区,贵阳市,贵州省,106,40,29,26,31,50,1419,28,3
520102013005G121447003200,贵州水泥厂,南明区,贵阳市,贵州省,106,40,25,26,31,26,3111,15631,2
520102013005G166295082200,贵州星田庆铃汽车贸易有限责任公司维修服务分公司,南明区,贵阳市,贵州省,106,40,46,26,33,8,3726,400,3
520102013005G174111465400,贵阳银镒精细化工有限公司,南明区,贵阳市,贵州省,106,40,22,26,31,39,2669,75,3
520102013006G172211783300,贵阳守信拉丝厂,南明区,贵阳市,贵州省,106,40,48,26,32,11,3230,420,3
520102013006G177534974200,贵州正宇汽车服务有限公司,南明区,贵阳市,贵州省,106,40,34,26,31,55,3726,83.26,3
520102013007G175539428X00,贵阳海大汽车服务有限公司,南明区,贵阳市,贵州省,106,40,48,26,32,11,3726,80,3
520102013007G177059798200,贵阳利和汽车修理有限公司,南明区,贵阳市,贵州省,106,40,48,26,33,11,3726,100,3
520102013007G1L0328393400,贵阳市南明区宇嘉汽车修理厂,南明区,贵阳市,贵州省,106,40,57,26,32,9,3726,12,3
520102013008G170963438500,贵阳南明中建钢模有限公司,南明区,贵阳市,贵州省,106,40,30,26,41,43,3625,2780,3
520102013008G175536580900,贵阳超盛汽车修理厂,南明区,贵阳市,贵州省,106,40,16,26,31,36,3726,23,3
520102013009G121446528400,贵阳卷烟厂原料公司,南明区,贵阳市,贵州省,106,40,25,26,30,48,1610,10049,1
520102014001G121452224200,贵阳六同汽车修理有限公司,南明区,贵阳市,贵州省,106,44,8,26,33,35,3726,180,3
