代码,11.代码（处理方法）,13.代码（处理的主要污染物）,14.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,16.代码（处理的主要污染物）,17.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,19.代码（处理的主要污染物）,20.处理效率（%）（处理的主要污染物）
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.7,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.9,J3,,,J3,,
520181101201G174572536400,J3,2100,99.9,J3,,,J3,,
520181101213G178547961200,E,2100,99.5,E,,,E,,
520181101213G178547961200,D,2100,98,D,,,D,,
520181101231G1X2236464900,E,2100,99.5,E,,,E,,
520181101231G1X2236464900,J3,2100,90,J3,,,J3,,
520181102204G175539349800,J2,2100,97.1,J2,,,J2,,
520181102233G173094884800,J3,2100,99,J3,,,J3,,
520181102233G173094884800,J3,2100,99,J3,,,J3,,
520181102233G173094884800,J3,2100,99,J3,,,J3,,
520181102233G173094884800,J3,2100,99,J3,,,J3,,
520181102233G173094884800,J3,2100,99,J3,,,J3,,
520181202200G172213823900,E,2100,99,E,,,E,,
520181202200G178976242300,,,,,,,,,
